symbol,rsi_threshold,macd_threshold,disp_threshold,btc_dom_threshold,volume_ratio,stop_loss,take_profit,trades,win_rate,avg_return
LPTUSDT,50,0.5,-1.5,60,1.2,0.04,0.08,28,32.142857142857146,1.4792816546622727
LPTUSDT,50,0.5,-1.5,65,1.2,0.04,0.08,28,32.142857142857146,1.4792816546622727
LPTUSDT,50,0.5,-1.0,50,1.2,0.04,0.08,28,32.142857142857146,1.4792816546622727
LPTUSDT,50,0.5,-1.0,55,1.2,0.04,0.08,28,32.142857142857146,1.4792816546622727
LPTUSDT,50,0.5,-1.0,60,1.2,0.04,0.08,28,32.142857142857146,1.4792816546622727
LPTUSDT,50,0.5,-1.0,65,1.2,0.04,0.08,28,32.142857142857146,1.4792816546622727
LPTUSDT,50,0.5,-0.5,50,1.2,0.04,0.08,28,32.142857142857146,1.4792816546622727
LPTUSDT,50,0.5,-0.5,55,1.2,0.04,0.08,28,32.142857142857146,1.4792816546622727
LPTUSDT,50,0.5,-0.5,60,1.2,0.04,0.08,28,32.142857142857146,1.4792816546622727
LPTUSDT,50,0.5,-0.5,65,1.2,0.04,0.08,28,32.142857142857146,1.4792816546622727
WIFUSDT,35,0.0,-1.5,50,1.2,0.04,0.08,33,36.36363636363637,0.27510939063816153
WIFUSDT,35,0.0,-1.5,55,1.2,0.04,0.08,33,36.36363636363637,0.27510939063816153
WIFUSDT,35,0.0,-1.5,60,1.2,0.04,0.08,33,36.36363636363637,0.27510939063816153
WIFUSDT,35,0.0,-1.5,65,1.2,0.04,0.08,33,36.36363636363637,0.27510939063816153
WIFUSDT,35,0.0,-1.0,50,1.2,0.04,0.08,33,36.36363636363637,0.27510939063816153
WIFUSDT,35,0.0,-1.0,55,1.2,0.04,0.08,33,36.36363636363637,0.27510939063816153
WIFUSDT,35,0.0,-1.0,60,1.2,0.04,0.08,33,36.36363636363637,0.27510939063816153
WIFUSDT,35,0.0,-1.0,65,1.2,0.04,0.08,33,36.36363636363637,0.27510939063816153
WIFUSDT,35,0.0,-0.5,50,1.2,0.04,0.08,33,36.36363636363637,0.27510939063816153
WIFUSDT,35,0.0,-0.5,55,1.2,0.04,0.08,33,36.36363636363637,0.27510939063816153
WIFUSDT,35,0.0,-0.5,60,1.2,0.04,0.08,33,36.36363636363637,0.27510939063816153
WIFUSDT,35,0.0,-0.5,65,1.2,0.04,0.08,33,36.36363636363637,0.27510939063816153
WIFUSDT,35,0.5,-1.5,50,1.2,0.04,0.08,24,33.33333333333333,-0.376370983657121
WIFUSDT,35,0.5,-1.5,55,1.2,0.04,0.08,24,33.33333333333333,-0.376370983657121
WIFUSDT,35,0.5,-1.5,60,1.2,0.04,0.08,24,33.33333333333333,-0.376370983657121
WIFUSDT,35,0.5,-1.5,65,1.2,0.04,0.08,24,33.33333333333333,-0.376370983657121
WIFUSDT,35,0.5,-1.0,50,1.2,0.04,0.08,24,33.33333333333333,-0.376370983657121
WIFUSDT,35,0.5,-1.0,55,1.2,0.04,0.08,24,33.33333333333333,-0.376370983657121
WIFUSDT,35,0.5,-1.0,60,1.2,0.04,0.08,24,33.33333333333333,-0.376370983657121
WIFUSDT,35,0.5,-1.0,65,1.2,0.04,0.08,24,33.33333333333333,-0.376370983657121
WIFUSDT,35,0.5,-0.5,50,1.2,0.04,0.08,24,33.33333333333333,-0.376370983657121
WIFUSDT,35,0.5,-0.5,55,1.2,0.04,0.08,24,33.33333333333333,-0.376370983657121
WIFUSDT,35,0.5,-0.5,60,1.2,0.04,0.08,24,33.33333333333333,-0.376370983657121
WIFUSDT,35,0.5,-0.5,65,1.2,0.04,0.08,24,33.33333333333333,-0.376370983657121
WIFUSDT,40,0.0,-1.5,50,1.2,0.04,0.08,37,35.13513513513514,-0.23564589025100946
WIFUSDT,40,0.0,-1.5,55,1.2,0.04,0.08,37,35.13513513513514,-0.23564589025100946
WIFUSDT,40,0.0,-1.5,60,1.2,0.04,0.08,37,35.13513513513514,-0.23564589025100946
WIFUSDT,40,0.0,-1.5,65,1.2,0.04,0.08,37,35.13513513513514,-0.23564589025100946
WIFUSDT,40,0.0,-1.0,50,1.2,0.04,0.08,37,35.13513513513514,-0.23564589025100946
WIFUSDT,40,0.0,-1.0,55,1.2,0.04,0.08,37,35.13513513513514,-0.23564589025100946
WIFUSDT,40,0.0,-1.0,60,1.2,0.04,0.08,37,35.13513513513514,-0.23564589025100946
WIFUSDT,40,0.0,-1.0,65,1.2,0.04,0.08,37,35.13513513513514,-0.23564589025100946
WIFUSDT,40,0.0,-0.5,50,1.2,0.04,0.08,37,35.13513513513514,-0.23564589025100946
WIFUSDT,40,0.0,-0.5,55,1.2,0.04,0.08,37,35.13513513513514,-0.23564589025100946
WIFUSDT,40,0.0,-0.5,60,1.2,0.04,0.08,37,35.13513513513514,-0.23564589025100946
WIFUSDT,40,0.0,-0.5,65,1.2,0.04,0.08,37,35.13513513513514,-0.23564589025100946
WIFUSDT,40,0.5,-1.5,50,1.2,0.04,0.08,29,34.48275862068966,-0.6332273177982628
WIFUSDT,40,0.5,-1.5,55,1.2,0.04,0.08,29,34.48275862068966,-0.6332273177982628
WIFUSDT,40,0.5,-1.5,60,1.2,0.04,0.08,29,34.48275862068966,-0.6332273177982628
WIFUSDT,40,0.5,-1.5,65,1.2,0.04,0.08,29,34.48275862068966,-0.6332273177982628
WIFUSDT,40,0.5,-1.0,50,1.2,0.04,0.08,29,34.48275862068966,-0.6332273177982628
WIFUSDT,40,0.5,-1.0,55,1.2,0.04,0.08,29,34.48275862068966,-0.6332273177982628
WIFUSDT,40,0.5,-1.0,60,1.2,0.04,0.08,29,34.48275862068966,-0.6332273177982628
WIFUSDT,40,0.5,-1.0,65,1.2,0.04,0.08,29,34.48275862068966,-0.6332273177982628
WIFUSDT,40,0.5,-0.5,50,1.2,0.04,0.08,29,34.48275862068966,-0.6332273177982628
WIFUSDT,40,0.5,-0.5,55,1.2,0.04,0.08,29,34.48275862068966,-0.6332273177982628
WIFUSDT,40,0.5,-0.5,60,1.2,0.04,0.08,29,34.48275862068966,-0.6332273177982628
WIFUSDT,40,0.5,-0.5,65,1.2,0.04,0.08,29,34.48275862068966,-0.6332273177982628
WIFUSDT,45,0.0,-1.5,50,1.2,0.04,0.08,39,38.46153846153847,0.6542203428743036
WIFUSDT,45,0.0,-1.5,55,1.2,0.04,0.08,39,38.46153846153847,0.6542203428743036
WIFUSDT,45,0.0,-1.5,60,1.2,0.04,0.08,39,38.46153846153847,0.6542203428743036
WIFUSDT,45,0.0,-1.5,65,1.2,0.04,0.08,39,38.46153846153847,0.6542203428743036
WIFUSDT,45,0.0,-1.0,50,1.2,0.04,0.08,39,38.46153846153847,0.6542203428743036
WIFUSDT,45,0.0,-1.0,55,1.2,0.04,0.08,39,38.46153846153847,0.6542203428743036
WIFUSDT,45,0.0,-1.0,60,1.2,0.04,0.08,39,38.46153846153847,0.6542203428743036
WIFUSDT,45,0.0,-1.0,65,1.2,0.04,0.08,39,38.46153846153847,0.6542203428743036
