type,time,price,position,balance,rsi,pnl,win,win_streak,lose_streak,month
entry,2025-02-28 18:31:00,84105.95,short,9921.21319108631,100.0,-0.009978831713604142,False,0,1,2025-02
exit,2025-03-01 02:27:00,84996.6,short,10020.154229146043,,0.00997267533255175,True,1,0,2025-03
entry,2025-03-01 07:20:00,85037.73,short,9920.154229146043,99.94703389829431,-0.009979886308448815,False,0,1,2025-03
exit,2025-03-01 21:57:00,86123.99,short,10018.876843213939,,0.009951721695802052,True,1,0,2025-03
entry,2025-03-01 23:57:00,86098.45,short,9918.876843213939,100.0,-0.00998115872316896,False,0,1,2025-03
exit,2025-03-02 14:18:00,85125.01,short,10020.007455902089,,0.0101957725946904,True,1,0,2025-03
entry,2025-03-02 14:25:00,85418.4,short,9920.007455902089,100.0,-0.009980032493997482,False,0,1,2025-03
exit,2025-03-02 15:27:00,86328.87,short,10018.941561434385,,0.009973188626328566,True,1,0,2025-03
entry,2025-03-02 15:36:00,87761.77,short,9918.941561434385,99.54502129687542,-0.009981094249009947,False,0,1,2025-03
exit,2025-03-02 16:16:00,88807.18,short,10017.750370782693,,0.0099616283387014,True,1,0,2025-03
entry,2025-03-02 16:17:00,88917.82,short,9917.750370782693,100.0,-0.009982281080955557,False,0,1,2025-03
exit,2025-03-02 16:35:00,90140.01,short,10016.375854403412,,0.009944340191427425,True,1,0,2025-03
entry,2025-03-02 16:36:00,90252.71,short,9916.375854403412,98.76494775359347,-0.009983650918614195,False,0,1,2025-03
exit,2025-03-02 16:39:00,91611.9,short,10014.869871923773,,0.009932461109430912,True,1,0,2025-03
entry,2025-03-02 17:21:00,92722.41,short,9914.869871923773,100.0,-0.009985152206554937,False,0,1,2025-03
exit,2025-03-02 17:38:00,93702.0,short,10013.813395932693,,0.009979306363778084,True,1,0,2025-03
entry,2025-03-02 17:44:00,94600.0,short,9913.813395932693,100.0,-0.00998620565873709,False,0,1,2025-03
exit,2025-03-02 17:53:00,93632.01,short,10014.836641175822,,0.01019014996636658,True,1,0,2025-03
entry,2025-03-02 23:40:00,94498.0,short,9914.836641175822,100.0,-0.009985185338805436,False,0,1,2025-03
exit,2025-03-03 00:35:00,93435.21,short,10015.961310480992,,0.010199327832110194,True,1,0,2025-03
entry,2025-03-03 02:36:00,93121.99,short,9915.961310480992,100.0,-0.009984064125263425,False,0,1,2025-03
exit,2025-03-03 06:40:00,92123.56,short,10017.033484733282,,0.010192877028015301,True,1,0,2025-03
entry,2025-03-03 07:32:00,92152.32,short,9917.033484733282,100.0,-0.009982995479890122,False,0,1,2025-03
exit,2025-03-03 09:01:00,91218.0,short,10018.047371307162,,0.010185897499427332,True,1,0,2025-03
entry,2025-03-03 12:01:00,92923.56,short,9918.047371307162,99.40477927231112,-0.009981985140778193,False,0,1,2025-03
exit,2025-03-03 14:38:00,91914.87,short,10019.132876425563,,0.010192077264204347,True,1,0,2025-03
entry,2025-03-03 15:23:00,91178.0,short,9919.132876425563,98.32135097270965,-0.009980903660365081,False,0,1,2025-03
exit,2025-03-03 15:58:00,90150.65,short,10020.259628492948,,0.010195120211337061,True,1,0,2025-03
entry,2025-03-03 16:22:00,90744.0,short,9920.259628492948,99.31300594249859,-0.00997978133377364,False,0,1,2025-03
exit,2025-03-03 18:06:00,89784.0,short,10021.31754967782,,0.010187023824922203,True,1,0,2025-03
entry,2025-03-03 22:05:00,86220.01,short,9921.31754967782,100.0,-0.009978727797445686,False,0,1,2025-03
exit,2025-03-04 01:25:00,85320.62,short,10022.360683400491,,0.010184447097548288,True,1,0,2025-03
entry,2025-03-04 03:23:00,84216.02,short,9922.360683400491,100.0,-0.009977689205061702,False,0,1,2025-03
