type,time,price,position,balance,pnl,win,win_streak,lose_streak,month
exit,2025-02-09 13:15:00,96204.0,long,8680.863034496493,-0.011264131551901313,False,0,2,2025-02
entry,2025-02-09 14:00:00,96104.98,long,8680.863034496493,0.0,False,0,3,2025-02
exit,2025-02-09 21:30:00,95036.26,long,8584.328890873268,-0.011120339445468974,False,0,4,2025-02
entry,2025-02-09 22:00:00,95436.7,long,8584.328890873268,0.0,False,0,5,2025-02
exit,2025-02-09 22:30:00,96400.01,long,8670.976583677684,0.010093706090005261,True,1,0,2025-02
entry,2025-02-09 22:45:00,95831.64,long,8670.976583677684,0.0,False,0,1,2025-02
exit,2025-02-10 00:00:00,96946.65,long,8771.864198671714,0.01163509254354822,True,1,0,2025-02
entry,2025-02-10 00:15:00,96719.99,long,8771.864198671714,0.0,False,0,1,2025-02
exit,2025-02-10 01:30:00,95546.09,long,8665.399222994805,-0.012137098029063154,False,0,2,2025-02
entry,2025-02-10 01:45:00,95576.0,long,8665.399222994805,0.0,False,0,3,2025-02
exit,2025-02-10 03:30:00,96996.97,long,8794.231485632905,0.014867435339415813,True,1,0,2025-02
entry,2025-02-10 03:45:00,96814.98,long,8794.231485632905,0.0,False,0,1,2025-02
exit,2025-02-10 08:30:00,97834.21,long,8886.813693025828,0.010527606368353482,True,1,0,2025-02
entry,2025-02-10 08:45:00,97683.99,long,8886.813693025828,0.0,False,0,1,2025-02
exit,2025-02-11 16:15:00,96643.09,long,8792.117680167727,-0.010655789142110295,False,0,2,2025-02
entry,2025-02-12 07:00:00,95878.22,long,8792.117680167727,0.0,False,0,3,2025-02
exit,2025-02-12 13:30:00,94520.37,long,8667.601632706523,-0.014162236220071622,False,0,4,2025-02
entry,2025-02-12 16:45:00,96986.14,long,8667.601632706523,0.0,False,0,5,2025-02
exit,2025-02-12 23:00:00,97981.56,long,8756.561808018467,0.010263528376322606,True,1,0,2025-02
entry,2025-02-12 23:15:00,97700.98,long,8756.561808018467,0.0,False,0,1,2025-02
exit,2025-02-13 05:45:00,96666.38,long,8663.83460255363,-0.0105894536574761,False,0,2,2025-02
entry,2025-02-13 11:15:00,96105.15,long,8663.83460255363,0.0,False,0,3,2025-02
exit,2025-02-14 03:45:00,97129.98,long,8756.22255070974,0.01066363249003821,True,1,0,2025-02
entry,2025-02-14 07:30:00,97033.49,long,8756.22255070974,0.0,False,0,1,2025-02
exit,2025-02-14 17:45:00,98526.0,long,8890.905428952703,0.015381390486933988,True,1,0,2025-02
entry,2025-02-14 18:00:00,98487.99,long,8890.905428952703,0.0,False,0,1,2025-02
exit,2025-02-14 20:45:00,97196.09,long,8774.280440223985,-0.013117335423334375,False,0,2,2025-02
entry,2025-02-15 16:00:00,97605.1,long,8774.280440223985,0.0,False,0,3,2025-02
