type,time,price,position,balance
alignment_break,2024-12-15 18:50:00,103187.99,437514815189435.2,9.03223041318196e+19
entry,2024-12-15 19:10:00,103250.75,874785937456334.2,9.03223041318196e+19
alignment_break,2024-12-15 19:15:00,103378.95,874785937456334.2,1.807567558208211e+20
entry,2024-12-15 19:17:00,103408.75,1747983181508538.5,1.807567558208211e+20
alignment_break,2024-12-15 19:32:00,103320.0,1747983181508538.5,3.613583781342833e+20
entry,2024-12-15 23:10:00,103492.0,3491655182374321.5,3.613583781342833e+20
half_take_profit,2024-12-15 23:23:00,104751.99,1745827591187160.8,5.4423729250804485e+20
alignment_break,2024-12-15 23:56:00,104327.14,1745827591187160.8,7.263744920296906e+20
entry,2024-12-16 00:28:00,105115.98,6910219474048481.0,7.263744920296906e+20
half_take_profit,2024-12-16 00:34:00,106223.76,3455109737024240.5,1.0933892395090166e+21
alignment_break,2024-12-16 00:47:00,105832.64,3455109737024240.5,1.4590526244679978e+21
entry,2024-12-16 05:38:00,104920.01,1.3906333257764632e+16,1.4590526244679978e+21
alignment_break,2024-12-16 05:58:00,104993.35,1.3906333257764632e+16,2.91912513941712e+21
entry,2024-12-16 06:03:00,105084.57,2.777881795031487e+16,2.91912513941712e+21
alignment_break,2024-12-16 06:28:00,105120.0,2.777881795031487e+16,5.839234482354219e+21
entry,2024-12-16 06:35:00,105265.11,5.547169885970973e+16,5.839234482354219e+21
alignment_break,2024-12-16 06:46:00,105119.01,5.547169885970973e+16,1.1670364549505035e+22
entry,2024-12-16 07:22:00,105323.23,1.1080522833856344e+17,1.1670364549505035e+22
alignment_break,2024-12-16 07:29:00,105232.01,1.1080522833856344e+17,2.3330621446081028e+22
entry,2024-12-16 14:32:00,104553.46,2.2314537889115315e+17,2.3330621446081028e+22
half_take_profit,2024-12-16 14:46:00,105629.92,1.1157268944557658e+17,3.5116035706402124e+22
alignment_break,2024-12-16 15:00:00,105561.95,1.1157268944557658e+17,4.6893866371021604e+22
entry,2024-12-16 15:07:00,105908.6,4.4277675628817306e+17,4.6893866371021604e+22
alignment_break,2024-12-16 15:13:00,106112.01,4.4277675628817306e+17,9.38777979620398e+22
entry,2024-12-16 15:17:00,106170.79,8.842149329588657e+17,9.38777979620398e+22
alignment_break,2024-12-16 15:32:00,105943.99,8.842149329588657e+17,1.8755505597728452e+23
entry,2024-12-16 15:42:00,106447.33,1.7619517180683116e+18,1.8755505597728452e+23
alignment_break,2024-12-16 15:44:00,106427.07,1.7619517180683116e+18,3.7507441481276095e+23
entry,2024-12-16 16:01:00,106315.75,3.527928973955044e+18,3.7507441481276095e+23
alignment_break,2024-12-16 16:03:00,106155.52,3.527928973955044e+18,7.495835495660251e+23
entry,2024-12-16 16:11:00,106628.74,7.02984532656041e+18,7.495835495660251e+23
alignment_break,2024-12-16 16:47:00,106548.0,7.02984532656041e+18,1.4985995094203836e+24
entry,2024-12-16 17:08:00,106915.99,1.4016607893921047e+19,1.4985995094203836e+24
alignment_break,2024-12-16 17:12:00,106939.74,1.4016607893921047e+19,2.997531913278248e+24
entry,2024-12-16 17:13:00,106800.92,2.8066536442553565e+19,2.997531913278248e+24
alignment_break,2024-12-16 17:14:00,106713.88,2.8066536442553565e+19,5.992620915224536e+24
entry,2024-12-16 17:22:00,106950.65,5.603164557882103e+19,5.992620915224536e+24
alignment_break,2024-12-16 17:23:00,106935.08,5.603164557882103e+19,1.198436941772741e+25
entry,2024-12-16 17:26:00,107083.29,1.119163355713801e+20,1.198436941772741e+25
alignment_break,2024-12-16 17:38:00,106987.87,1.119163355713801e+20,2.3958059778714597e+25
entry,2024-12-16 17:45:00,107090.88,2.2371708756819064e+20,2.3958059778714597e+25
alignment_break,2024-12-16 17:50:00,106884.75,2.2371708756819064e+20,4.787000475416876e+25
entry,2024-12-16 18:12:00,107087.15,4.470191311858497e+20,4.787000475416876e+25
alignment_break,2024-12-16 18:15:00,107299.99,4.470191311858497e+20,9.583515306021912e+25
